season,round,driver,constructor,status,dnf
2010,1,Alonso,Ferrari,finished,0
2010,1,Massa,Ferrari,finished,0
2010,1,Hamilton,McLaren,finished,0
2010,1,Vettel,Red Bull,finished,0
2010,1,Rosberg,Mercedes,finished,0
2010,1,Schumacher,Mercedes,finished,0
2010,1,Button,McLaren,finished,0
2010,1,Webber,Red Bull,finished,0
2010,1,Liuzzi,Force India,finished,0
2010,1,Barrichello,Williams,finished,0
2010,1,Kubica,Renault,finished,0
2010,1,Sutil,Force India,finished,0
2010,1,Alguersuari,Toro Rosso,finished,0
2010,1,Hülkenberg,Williams,+1 lap,0
2010,1,Kovalainen,Lotus,+2 laps,0
2010,1,Buemi,Toro Rosso,electrical,0
2010,1,Trulli,Lotus,hydraulics,1
2010,1,de la Rosa,Sauber,hydraulics,1
2010,1,Senna,HRT,overheating,0
2010,1,Glock,Virgin,gearbox,0
2010,1,Petrov,Renault,suspension,0
2010,1,Kobayashi,Sauber,hydraulics,1
2010,1,di Grassi,Virgin,hydraulics,1
2010,1,Chandhok,HRT,accident,1
2010,2,Button,McLaren,finished,0
2010,2,Kubica,Renault,finished,0
2010,2,Massa,Ferrari,finished,0
2010,2,Alonso,Ferrari,finished,0
2010,2,Rosberg,Mercedes,finished,0
2010,2,Hamilton,McLaren,finished,0
2010,2,Liuzzi,Force India,finished,0
2010,2,Barrichello,Williams,finished,0
2010,2,Webber,Red Bull,finished,0
2010,2,Schumacher,Mercedes,finished,0
2010,2,Alguersuari,Toro Rosso,finished,0
2010,2,de la Rosa,Sauber,finished,0
2010,2,Kovalainen,Lotus,+2 laps,0
2010,2,Chandhok,HRT,+5 laps,0
2010,2,Glock,Virgin,suspension,0
2010,2,di Grassi,Virgin,hydraulics,1
2010,2,Vettel,Red Bull,wheel,0
2010,2,Sutil,Force India,engine,1
2010,2,Petrov,Renault,spun off,0
2010,2,Senna,HRT,hydraulics,1
2010,2,Buemi,Toro Rosso,collision,0
2010,2,Hülkenberg,Williams,collision,0
2010,2,Kobayashi,Sauber,collision,0
2010,2,Trulli,Lotus,hydraulics,1
2010,4,Button,McLaren,finished,0
2010,4,Hamilton,McLaren,finished,0
2010,4,Rosberg,Mercedes,finished,0
2010,4,Alonso,Ferrari,finished,0
2010,4,Kubica,Renault,finished,0
2010,4,Vettel,Red Bull,finished,0
2010,4,Petrov,Renault,finished,0
2010,4,Webber,Red Bull,finished,0
2010,4,Massa,Ferrari,finished,0
2010,4,Schumacher,Mercedes,finished,0
2010,4,Sutil,Force India,finished,0
2010,4,Barrichello,Williams,finished,0
2010,4,Alguersuari,Toro Rosso,finished,0
2010,4,Kovalainen,Lotus,+1 lap,0
2010,4,Hülkenberg,Williams,+1 lap,0
2010,4,Senna,HRT,+2 laps,0
2010,4,Chandhok,HRT,+4 laps,0
2010,4,Trulli,Lotus,hydraulics,1
2010,4,di Grassi,Virgin,clutch,0
2010,4,de la Rosa,Sauber,technical,0
2010,4,Buemi,Toro Rosso,accident,1
2010,4,Kobayashi,Sauber,accident,1
