season,round,driver,constructor,q1,q2,q3
2010,1,Vettel,Red Bull,1:55.029,1:53.883,1:54.101
2010,1,Massa,Ferrari,1:55.313,1:54.331,1:54.242
2010,1,Alonso,Ferrari,1:54.612,1:54.172,1:54.608
2010,1,Hamilton,McLaren,1:55.341,1:54.707,1:55.217
2010,1,Rosberg,Mercedes,1:55.463,1:54.682,1:55.241
2010,1,Webber,Red Bull,1:55.298,1:54.318,1:55.284
2010,1,Schumacher,Mercedes,1:55.593,1:55.105,1:55.524
2010,1,Button,McLaren,1:55.715,1:55.168,1:55.672
2010,1,Kubica,Renault,1:55.511,1:54.963,1:55.885
2010,1,Sutil,Force India,1:55.213,1:54.996,1:56.309
2010,1,Barrichello,Williams,1:55.969,1:55.330,
2010,1,Liuzzi,Force India,1:55.628,1:55.623,
2010,1,Hülkenberg,Williams,1:56.375,1:55.857,
2010,1,de la Rosa,Sauber,1:56.428,1:56.237,
2010,1,Buemi,Toro Rosso,1:56.189,1:56.265,
2010,1,Kobayashi,Sauber,1:56.541,1:56.270,
2010,1,Petrov,Renault,1:56.167,1:56.619,
2010,1,Alguersuari,Toro Rosso,1:57.071,,
2010,1,Glock,Virgin,1:59.728,,
2010,1,Trulli,Lotus,1:59.852,,
2010,1,Kovalainen,Lotus,2:00.313,,
2010,1,di Grassi,Virgin,2:00.587,,
2010,1,Senna,HRT,2:03.204,,
2010,1,Chandhok,HRT,2:04.904,,
2010,2,Vettel,Red Bull,1:24.774,1:24.096,1:23.919
2010,2,Webber,Red Bull,1:25.286,1:24.276,1:24.035
2010,2,Alonso,Ferrari,1:25.082,1:24.335,1:24.111
2010,2,Button,McLaren,1:24.897,1:24.531,1:24.675
2010,2,Massa,Ferrari,1:25.548,1:25.010,1:24.837
2010,2,Rosberg,Mercedes,1:24.788,1:24.788,1:24.884
2010,2,Schumacher,Mercedes,1:25.351,1:24.871,1:24.927
2010,2,Barrichello,Williams,1:25.702,1:25.085,1:25.217
2010,2,Kubica,Renault,1:25.588,1:25.122,1:25.372
2010,2,Sutil,Force India,1:25.504,1:25.046,1:26.036
2010,2,Hamilton,McLaren,1:25.046,1:25.184,
2010,2,Buemi,Toro Rosso,1:26.061,1:25.638,
2010,2,Liuzzi,Force India,1:26.170,1:25.743,
2010,2,de la Rosa,Sauber,1:26.089,1:25.747,
2010,2,Hülkenberg,Williams,1:25.866,1:25.748,
2010,2,Kobayashi,Sauber,1:26.251,1:25.777,
2010,2,Alguersuari,Toro Rosso,1:26.095,1:26.089,
2010,2,Petrov,Renault,1:26.471,,
2010,2,Kovalainen,Lotus,1:28.797,,
2010,2,Trulli,Lotus,1:29.111,,
2010,2,Glock,Virgin,1:29.592,,
2010,2,di Grassi,Virgin,1:30.185,,
2010,2,Senna,HRT,1:30.526,,
2010,2,Chandhok,HRT,1:30.613,,
2010,4,Vettel,Red Bull,1:36.317,1:35.280,1:34.558
2010,4,Webber,Red Bull,1:35.978,1:35.100,1:34.808
2010,4,Alonso,Ferrari,1:35.987,1:35.235,1:34.913
2010,4,Rosberg,Mercedes,1:35.952,1:35.134,1:34.923
2010,4,Button,McLaren,1:36.122,1:35.443,1:34.979
2010,4,Hamilton,McLaren,1:35.641,1:34.928,1:35.034
2010,4,Massa,Ferrari,1:36.076,1:35.290,1:35.180
2010,4,Kubica,Renault,1:36.348,1:35.550,1:35.364
2010,4,Schumacher,Mercedes,1:36.484,1:35.715,1:35.646
2010,4,Sutil,Force India,1:36.671,1:35.665,1:35.963
2010,4,Barrichello,Williams,1:36.664,1:35.748,
2010,4,Alguersuari,Toro Rosso,1:36.618,1:36.047,
2010,4,Buemi,Toro Rosso,1:36.793,1:36.149,
2010,4,Petrov,Renault,1:37.031,1:36.311,
2010,4,Kobayashi,Sauber,1:37.044,1:36.422,
2010,4,Hülkenberg,Williams,1:37.049,1:36.647,
2010,4,de la Rosa,Sauber,1:37.050,1:37.020,
2010,4,Liuzzi,Force India,1:37.161,,
2010,4,Glock,Virgin,1:39.278,,
2010,4,Trulli,Lotus,1:39.399,,
2010,4,Kovalainen,Lotus,1:39.520,,
2010,4,di Grassi,Virgin,1:39.783,,
2010,4,Senna,HRT,1:40.469,,
2010,4,Chandhok,HRT,1:40.578,,
2010,5,Webber,Red Bull,1:21.412,1:20.655,1:19.995
2010,5,Vettel,Red Bull,1:21.680,1:20.772,1:20.101
2010,5,Hamilton,McLaren,1:21.723,1:21.415,1:20.829
2010,5,Alonso,Ferrari,1:21.957,1:21.549,1:20.937
2010,5,Button,McLaren,1:21.915,1:21.168,1:20.991
2010,5,Schumacher,Mercedes,1:22.528,1:21.557,1:21.294
2010,5,Kubica,Renault,1:22.488,1:21.599,1:21.353
2010,5,Rosberg,Mercedes,1:22.419,1:21.867,1:21.408
2010,5,Massa,Ferrari,1:22.564,1:21.841,1:21.585
2010,5,Kobayashi,Sauber,1:22.577,1:21.725,1:21.984
2010,5,Sutil,Force India,1:22.628,1:21.985,
2010,5,de la Rosa,Sauber,1:22.211,1:22.026,
2010,5,Hülkenberg,Williams,1:22.857,1:22.131,
2010,5,Petrov,Renault,1:22.976,1:22.139,
2010,5,Buemi,Toro Rosso,1:22.699,1:22.191,
2010,5,Alguersuari,Toro Rosso,1:22.593,1:22.207,
2010,5,Liuzzi,Force India,1:23.084,1:22.854,
2010,5,Barrichello,Williams,1:23.125,,
2010,5,Trulli,Lotus,1:24.674,,
2010,5,Kovalainen,Lotus,1:24.748,,
2010,5,Glock,Virgin,1:25.475,,
2010,5,di Grassi,Virgin,1:25.556,,
2010,5,Chandhok,HRT,1:26.750,,
2010,5,Senna,HRT,1:27.122,,
2010,7,Webber,Red Bull,1:27.500,1:26.818,1:26.295
2010,7,Hamilton,McLaren,1:27.667,1:27.013,1:26.433
2010,7,Vettel,Red Bull,1:27.067,1:26.729,1:26.760
2010,7,Button,McLaren,1:27.555,1:27.277,1:26.781
2010,7,Schumacher,Mercedes,1:27.756,1:27.438,1:26.857
2010,7,Rosberg,Mercedes,1:27.649,1:27.141,1:26.952
2010,7,Kubica,Renault,1:27.766,1:27.426,1:27.039
2010,7,Massa,Ferrari,1:27.993,1:27.200,1:27.082
2010,7,Petrov,Renault,1:27.620,1:27.387,1:27.430
2010,7,Kobayashi,Sauber,1:28.158,1:27.434,1:28.122
2010,7,Sutil,Force India,1:27.951,1:27.525,
2010,7,Alonso,Ferrari,1:27.857,1:27.612,
2010,7,de la Rosa,Sauber,1:28.147,1:27.879,
2010,7,Buemi,Toro Rosso,1:28.534,1:28.273,
2010,7,Barrichello,Williams,1:28.336,1:28.392,
2010,7,Alguersuari,Toro Rosso,1:28.460,1:28.540,
2010,7,Hülkenberg,Williams,1:28.227,1:28.841,
2010,7,Liuzzi,Force India,1:28.958,,
2010,7,Trulli,Lotus,1:30.237,,
2010,7,Kovalainen,Lotus,1:30.519,,
2010,7,Glock,Virgin,1:30.744,,
2010,7,Senna,HRT,1:31.266,,
2010,7,di Grassi,Virgin,1:31.989,,
2010,7,Chandhok,HRT,1:32.060,,
2010,8,Hamilton,McLaren,1:15.889,1:15.528,1:15.105
2010,8,Webber,Red Bull,1:16.423,1:15.692,1:15.373
2010,8,Vettel,Red Bull,1:16.129,1:15.556,1:15.420
2010,8,Alonso,Ferrari,1:16.171,1:15.597,1:15.435
2010,8,Button,McLaren,1:16.371,1:15.742,1:15.520
2010,8,Liuzzi,Force India,1:17.086,1:16.171,1:15.648
2010,8,Massa,Ferrari,1:16.673,1:16.314,1:15.688
2010,8,Kubica,Renault,1:16.370,1:15.682,1:15.715
2010,8,Sutil,Force India,1:16.495,1:16.295,1:15.881
2010,8,Rosberg,Mercedes,1:16.350,1:16.001,1:16.071
2010,8,Barrichello,Williams,1:16.880,1:16.434,
2010,8,Hülkenberg,Williams,1:16.770,1:16.438,
2010,8,Schumacher,Mercedes,1:16.598,1:16.492,
2010,8,Petrov,Renault,1:16.569,1:16.844,
2010,8,Buemi,Toro Rosso,1:17.356,1:16.928,
2010,8,Alguersuari,Toro Rosso,1:17.027,1:17.029,
2010,8,de la Rosa,Sauber,1:17.611,1:17.384,
2010,8,Kobayashi,Sauber,1:18.019,,
2010,8,Kovalainen,Lotus,1:18.237,,
2010,8,Trulli,Lotus,1:18.698,,
2010,8,Glock,Virgin,1:18.941,,
2010,8,Senna,HRT,1:19.484,,
2010,8,di Grassi,Virgin,1:19.675,,
2010,8,Chandhok,HRT,1:27.757,,
2010,9,Vettel,Red Bull,1:38.324,1:38.015,1:37.587
2010,9,Webber,Red Bull,1:38.549,1:38.041,1:37.662
2010,9,Hamilton,McLaren,1:38.697,1:38.158,1:37.969
2010,9,Alonso,Ferrari,1:38.472,1:38.179,1:38.075
2010,9,Massa,Ferrari,1:38.657,1:38.046,1:38.127
2010,9,Kubica,Renault,1:38.132,1:38.062,1:38.137
2010,9,Button,McLaren,1:38.360,1:38.399,1:38.210
2010,9,Hülkenberg,Williams,1:38.843,1:38.523,1:38.428
2010,9,Barrichello,Williams,1:38.449,1:38.326,1:38.428
2010,9,Petrov,Renault,1:39.004,1:38.552,1:38.523
2010,9,Buemi,Toro Rosso,1:39.096,1:38.586,
2010,9,Rosberg,Mercedes,1:38.752,1:38.627,
2010,9,Sutil,Force India,1:39.021,1:38.851,
2010,9,Liuzzi,Force India,1:38.969,1:38.884,
2010,9,Schumacher,Mercedes,1:38.994,1:39.234,
2010,9,de la Rosa,Sauber,1:39.003,1:39.264,
2010,9,Alguersuari,Toro Rosso,1:39.128,1:39.458,
2010,9,Kobayashi,Sauber,1:39.343,,
2010,9,Trulli,Lotus,1:40.658,,
2010,9,Kovalainen,Lotus,1:40.882,,
2010,9,di Grassi,Virgin,1:42.086,,
2010,9,Glock,Virgin,1:42.140,,
2010,9,Chandhok,HRT,1:42.600,,
