season,round,driver,constructor,position,points
2010,1,Alonso,Ferrari,1,25
2010,1,Massa,Ferrari,2,18
2010,1,Hamilton,McLaren,3,15
2010,1,Vettel,Red Bull,4,12
2010,1,Rosberg,Mercedes,5,10
2010,1,Schumacher,Mercedes,6,8
2010,1,Button,McLaren,7,6
2010,1,Webber,Red Bull,8,4
2010,1,Liuzzi,Force India,9,2
2010,1,Barrichello,Williams,10,1
2010,1,Kubica,Renault,11,0
2010,1,Sutil,Force India,12,0
2010,1,Alguersuari,Toro Rosso,13,0
2010,1,Hülkenberg,Williams,14,0
2010,1,Kovalainen,Lotus,15,0
2010,1,Buemi,Toro Rosso,16,0
2010,1,Trulli,Lotus,17,0
2010,1,de la Rosa,Sauber,18,0
2010,1,Senna,HRT,19,0
2010,1,Glock,Virgin,20,0
2010,1,Petrov,Renault,21,0
2010,1,Kobayashi,Sauber,22,0
2010,1,di Grassi,Virgin,23,0
2010,1,Chandhok,HRT,24,0
2010,2,Button,McLaren,1,25
2010,2,Kubica,Renault,2,18
2010,2,Massa,Ferrari,3,15
2010,2,Alonso,Ferrari,4,12
2010,2,Rosberg,Mercedes,5,10
2010,2,Hamilton,McLaren,6,8
2010,2,Liuzzi,Force India,7,6
2010,2,Barrichello,Williams,8,4
2010,2,Webber,Red Bull,9,2
2010,2,Schumacher,Mercedes,10,1
2010,2,Alguersuari,Toro Rosso,11,0
2010,2,de la Rosa,Sauber,12,0
2010,2,Kovalainen,Lotus,13,0
2010,2,Chandhok,HRT,14,0
2010,2,Glock,Virgin,15,0
2010,2,di Grassi,Virgin,16,0
2010,2,Vettel,Red Bull,17,0
2010,2,Sutil,Force India,18,0
2010,2,Petrov,Renault,19,0
2010,2,Senna,HRT,20,0
2010,2,Buemi,Toro Rosso,21,0
2010,2,Hülkenberg,Williams,22,0
2010,2,Kobayashi,Sauber,23,0
2010,2,Trulli,Lotus,24,0
2010,4,Button,McLaren,1,25
2010,4,Hamilton,McLaren,2,18
2010,4,Rosberg,Mercedes,3,15
2010,4,Alonso,Ferrari,4,12
2010,4,Kubica,Renault,5,10
2010,4,Vettel,Red Bull,6,8
2010,4,Petrov,Renault,7,6
2010,4,Webber,Red Bull,8,4
2010,4,Massa,Ferrari,9,2
2010,4,Schumacher,Mercedes,10,1
2010,4,Sutil,Force India,11,0
2010,4,Barrichello,Williams,12,0
2010,4,Alguersuari,Toro Rosso,13,0
2010,4,Kovalainen,Lotus,14,0
2010,4,Hülkenberg,Williams,15,0
2010,4,Senna,HRT,16,0
2010,4,Chandhok,HRT,17,0
2010,4,Trulli,Lotus,18,0
2010,4,di Grassi,Virgin,19,0
2010,4,de la Rosa,Sauber,20,0
2010,4,Buemi,Toro Rosso,21,0
2010,4,Kobayashi,Sauber,22,0
2010,4,Liuzzi,Force India,23,0
2010,4,Glock,Virgin,24,0
2010,5,Webber,Red Bull,1,25
2010,5,Alonso,Ferrari,2,18
2010,5,Vettel,Red Bull,3,15
